no,userstory
1,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم تا بتوانم خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم. 
2,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. 
3,به عنوان یک مشتری من می‌خواهم آدرس تحویل جدیدی به سرعت اضافه کنم تا بتوانم سفارشات خود را به مکان جدید دریافت کنم. 
4,"به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت، برند و رتبه‌بندی فیلتر کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. "
5,به عنوان یک مشتری من می‌خواهم بتوانم وضعیت تحویل سفارش خود را پیگیری کنم تا بتوانم زمان دقیق تحویل را بدانم. 
6,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را برای خریدهای آینده ذخیره کنم تا بتوانم بعداً به راحتی آن‌ها را خریداری کنم. 
7,به عنوان یک کاربر من می‌خواهم امکان اشتراک در خبرنامه وب‌سایت را داشته باشم تا بتوانم از آخرین تخفیف‌ها و پیشنهادات آگاه شوم. 
8,به عنوان یک کاربر غیر بومی من می‌خواهم زبان سایت را تغییر دهم تا بتوانم محتوای سایت را به زبان خودم مطالعه کنم. 
9,به عنوان یک کاربر من می‌خواهم بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم تا بتوانم فرآیند ورود را سریع‌تر انجام دهم. 
10,به عنوان یک مشتری من می‌خواهم بتوانم کد تخفیف را وارد کنم تا بتوانم از تخفیف در خرید خود بهره‌مند شوم. 
11,به عنوان یک مشتری من می‌خواهم بتوانم جزئیات کامل محصول را مشاهده کنم تا بتوانم تصمیم بگیرم که آیا آن محصول مناسب من است یا نه. 
12,به عنوان یک مشتری بین‌المللی من می‌خواهم بتوانم ارز قیمت‌ها را تغییر دهم تا بتوانم قیمت‌ها را به ارز مورد نظر خود مشاهده کنم. 
13,به عنوان یک مشتری من می‌خواهم بتوانم پس از خرید محصول نظر خود را به راحتی ارسال کنم تا بتوانم تجربیاتم را با دیگران به اشتراک بگذارم و به بهبود خدمات کمک کنم. 
14,به عنوان یک مشتری من می‌خواهم از گزینه‌های جستجوی پیشرفته برای فیلتر کردن نتایج استفاده کنم تا بتوانم دقیق‌تر محصولات مورد نظر خود را پیدا کنم. 
15,به عنوان یک مشتری من می‌خواهم سایز محصول را قبل از خرید به سرعت و بدون پیچیدگی انتخاب کنم تا بتوانم از خرید اشتباه سایز جلوگیری کنم
16,به عنوان یک مشتری من می‌خواهم بتوانم به سرعت راهنمای استفاده از محصول را مطالعه کنم تا بتوانم از محصول به درستی استفاده کنم. 
17,به عنوان یک مشتری من می‌خواهم اعلان‌هایی درباره وضعیت سفارشات دریافت کنم تا بتوانم از وضعیت سفارش خود آگاه شوم. 
18,"به عنوان یک کاربر من می‌خواهم نتایج جستجوی خود را بر اساس قیمت، تاریخ اضافه شدن یا امتیاز مرتب کنم تا بتوانم محصول مناسب‌تری پیدا کنم. "
19,ه عنوان یک مشتری من می‌خواهم محصولات را بر اساس دسته‌بندی‌ها مشاهده کنم تا بتوانم محصولات مشابه را سریع‌تر پیدا کنم.
20,"به عنوان یک مشتری من می‌خواهم هنگام خرید، کد تخفیف خود را وارد کنم تا بتوانم خرید خود را با تخفیف ویژه انجام دهم. "
21,به عنوان یک مشتری من می‌خواهم بتوانم موجودی سبد خرید خود را در هر زمان مشاهده کنم تا بتوانم بررسی کنم که آیا تمام محصولات مورد نظر من در سبد خرید هستند. 
22,به عنوان یک مشتری من می‌خواهم فاکتور خرید خود را مشاهده کنم تا بتوانم جزئیات تراکنش و خریدهای انجام شده را بررسی کنم. 
23,به عنوان یک مشتری من می‌خواهم روش ارسال مورد نظر خود را انتخاب کنم تا بتوانم کالا را در زمان دلخواه دریافت کنم. 
24,به عنوان یک مشتری من می‌خواهم بتوانم شرایط و قوانین سایت را به سرعت و بدون پیچیدگی مشاهده کنم تا بتوانم به راحتی از حقوق و وظایف خود در هنگام خرید آگاه شوم
25,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را به فهرست علاقه‌مندی‌ها اضافه کنم تا بتوانم در آینده به راحتی به آن‌ها دسترسی داشته باشم. 
26,به عنوان یک مشتری من می‌خواهم هشدار دریافت کنم زمانی که قیمت محصولی کاهش یابد تا بتوانم آن را در زمانی که تخفیف دارد خریداری کنم. 
27,به عنوان یک مشتری من می‌خواهم محصولات را بر اساس دسته‌بندی‌های مختلف جستجو کنم تا بتوانم محصولاتی که به نیازم نزدیک‌تر هستند را سریع‌تر پیدا کنم. 
28,به عنوان یک کاربر من می‌خواهم از آیکون‌هایی استفاده کنم که مفهوم آن‌ها واضح و قابل فهم باشد تا بتوانم به سرعت از ابزارهای مختلف نرم‌افزار بهره‌برداری کنم. 
29,"به عنوان یک کاربر من می‌خواهم با وارد کردن کلمات کلیدی ساده، بتوانم سریعاً به بخش‌های مختلف سیستم دسترسی پیدا کنم تا بتوانم بدون اتلاف وقت، به اطلاعات مورد نظر دسترسی پیدا کنم. "
30,به عنوان یک کاربر جدید من می‌خواهم پیش‌نمایش عملکرد ویژگی‌های مختلف قبل از اعمال آن‌ها بر روی داده‌ها داشته باشم تا بتوانم از نتیجه نهایی اطمینان حاصل کنم بدون این که نیازی به آزمایش‌های متعدد داشته باشم. 
31,"به عنوان یک کاربر من می‌خواهم به راحتی از قابلیت جستجو و فیلتر استفاده کنم تا بتوانم نتایج دلخواهم را سریعاً پیدا کنم، بدون اینکه نیاز به یادگیری پیچیده‌ای داشته باشم. "
32,"به عنوان یک کاربر جدید من می‌خواهم راهنمای درون‌برنامه‌ای به صورت پویا و در لحظه برای من نمایش داده شود تا بتوانم بدون نیاز به خروج از نرم‌افزار، با روش‌های مختلف استفاده از سیستم آشنا شوم. "
33,"به عنوان یک کاربر من می‌خواهم بتوانم تغییرات خود را به سادگی لغو یا بازگشت دهم تا بتوانم بدون نگرانی از اشتباهات، فرآیندهای سیستم را آزمایش و یاد بگیرم. "
34,"به عنوان یک کاربر تا بتوانم بدون نیاز به تنظیمات پیچیده، به‌سرعت از آن استفاده کنم و کارها را انجام دهم. تا بتوانم به‌سرعت مشکل خود را حل کنم و نیازی به جستجوی اطلاعات بیرونی نداشته باشم. "
35,"به عنوان یک کاربر باتجربه من می‌خواهم ابزارهای مورد نیاز خود را به سرعت از طریق میانبرهای صفحه‌کلید یا منوهای کشویی دسترسی پیدا کنم تا بتوانم وظایف خود را سریع‌تر و با کارایی بیشتر انجام دهم، بدون نیاز به پیمایش طولانی در منوها یا انجام اقدامات اضافی انجام دهم"
36,به عنوان یک کاربر  من می‌خواهم فرم‌ها به صورت خودکار با اطلاعات قبلی من پر شوند تا بتوانم زمان کمتری را صرف تکمیل فرم‌ها کنم و فرآیند را سریع‌تر انجام دهم.
37,"به عنوان یک کاربر من می‌خواهم قابلیت جستجو در سیستم سریع و دقیق باشد تا بتوانم بدون اتلاف وقت، نتایج جستجوی مرتبط را دریافت کنم."
38,به عنوان یک کاربر من می‌خواهم سیستم وضعیت پیشرفت من را به صورت خودکار ذخیره کند تا بتوانم بعداً به راحتی به همان نقطه ادامه کار برگردم و زمان کمتری برای شروع مجدد صرف کنم.
39,به عنوان یک کاربر باتجربه من می‌خواهم برای انجام عملیات‌های مختلف از میانبرهای صفحه‌کلید استفاده کنم تا بتوانم با سرعت بیشتری کارهایم را انجام دهم و زمان کمتری صرف انجام وظایف کنم. 
40,به عنوان یک کاربر من می‌خواهم بتوانم چندین عملیات را به صورت همزمان انجام دهم تا بتوانم زمان خود را برای انجام کارهای مختلف به طور همزمان مدیریت کنم و کارایی بیشتری داشته باشم. 
41,به عنوان یک کاربر من می‌خواهم فیلترهای سریع و قابل تنظیم برای جستجوی داده‌ها داشته باشم تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از زمان بیشتری برای تجزیه و تحلیل داده‌ها بهره‌برداری کنم. 
42,"به عنوان یک کاربر من می‌خواهم داده‌ها به صورت خودکار دسته‌بندی و مرتب‌سازی شوند تا بتوانم بدون نیاز به تلاش زیاد، به سرعت به داده‌های مورد نظر خود دسترسی پیدا کنم. "
43,"به عنوان یک کاربر من می‌خواهم گزینه‌های پیش‌فرض برای وظایف رایج به صورت هوشمندانه انتخاب شوند تا بتوانم بدون نیاز به تنظیمات اضافی، کارها را به سرعت انجام دهم. "
44,به عنوان یک کاربر من می‌خواهم بتوانم ایمیل‌های گروهی را با یک کلیک ارسال کنم تا بتوانم از اتلاف وقت در ارسال ایمیل‌های تکراری جلوگیری کنم و کارایی خود را افزایش دهم. 
45,به عنوان یک کاربر من می‌خواهم از قالب‌های از پیش طراحی‌شده برای اسناد یا گزارشات استفاده کنم تا بتوانم زمان کمتری را برای طراحی و تنظیم اسناد صرف کنم و نتیجه نهایی را سریع‌تر تحویل دهم. 
46,"به عنوان یک کاربر من می‌خواهم صفحات وب یا نرم‌افزار به سرعت بارگذاری شوند تا بتوانم بدون وقفه یا تأخیر در عملکرد، به کار خود ادامه دهم. "
47,به عنوان یک کاربر باتجربه من می‌خواهم بتوانم از میانبرهای صفحه‌کلید برای دسترسی به ابزارها و گزینه‌های مختلف استفاده کنم تا بتوانم سرعت انجام کارهای روزمره خود را افزایش دهم. 
48,"به عنوان یک کاربر من می‌خواهم امکان فیلتر نتایج جستجو بر اساس ویژگی‌های مختلف (مانند تاریخ، قیمت یا نوع) وجود داشته باشد تا بتوانم سریع‌تر و با دقت بیشتر اطلاعات مورد نظر خود را پیدا کنم. "
49,به عنوان یک کاربر من می‌خواهم به راحتی بتوانم تغییرات اخیر خود را مشاهده کرده و ویرایش‌های قبلی را بازگردانی کنم تا بتوانم از انجام تغییرات اشتباه جلوگیری کنم و زمان خود را صرف اصلاح آن‌ها نکنم. 
50,به عنوان یک کاربر من می‌خواهم آخرین فعالیت‌های خود را سریعاً در صفحه اصلی مشاهده کنم تا بتوانم به راحتی به آن‌ها بازگردم و ادامه دهم. 
51,به عنوان یک کاربر من می‌خواهم بتوانم چندین وظیفه یا عمل را به صورت همزمان انجام دهم تا بتوانم کارهای خود را سریع‌تر به پایان برسانم و زمان خود را بهینه کنم. 
52,به عنوان یک کاربر من می‌خواهم داده‌های وارد شده به طور خودکار ذخیره شوند تا بتوانم از از دست دادن اطلاعات به دلیل قطع ارتباط یا خطا جلوگیری کنم. 
53,به عنوان یک کاربر من می‌خواهم با یک کلیک یا میانبر به صفحه قبلی برگردم تا بتوانم از جستجوهای مجدد و وقت‌گیر جلوگیری کنم. 
54,"به عنوان یک کاربر من می‌خواهم پس از وارد کردن داده‌ها، سیستم به طور خودکار صحت اطلاعات را بررسی کند تا بتوانم از وارد کردن اطلاعات اشتباه جلوگیری کرده و سرعت انجام کارها را افزایش دهم. "
55,"به عنوان یک کاربر من می‌خواهم سیستم داده‌ها را به صورت خودکار در دسته‌های مناسب قرار دهد تا بتوانم به راحتی و با سرعت، داده‌ها را سازماندهی کنم و دسترسی سریع‌تری به آن‌ها داشته باشم. "
56,"به عنوان یک کاربر من می‌خواهم تنظیمات مورد نیاز خود را از طریق منوی سریع یا میانبر به راحتی پیدا کنم تا بتوانم بدون نیاز به جستجو یا پیمایش طولانی، به سرعت تنظیمات دلخواهم را تغییر دهم. "
57,به عنوان یک کاربر من می‌خواهم نتایج جستجو در کمترین زمان ممکن بارگذاری شوند تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از اتلاف وقت جلوگیری کنم. 
58,"به عنوان یک کاربر من می‌خواهم سیستم به صورت خودکار اطلاعات من را پر کند (مانند آدرس، ایمیل، شماره تلفن) تا بتوانم فرآیند ورود اطلاعات را سریع‌تر انجام دهم و اشتباهات را کاهش دهم. "
59,"به عنوان یک کاربر من می‌خواهم سیستم به طور خودکار داده‌ها را ذخیره کند تا بتوانم در صورت قطع اتصال یا خروج از سیستم، کار خود را از همان نقطه ادامه دهم. "
60,"به عنوان یک کاربر من می‌خواهم تاریخچه فعالیت‌هایم را سریعاً مشاهده کنم تا بتوانم بدون جستجوهای اضافی، به راحتی به اقدامات گذشته خود دسترسی پیدا کنم. "
61,به عنوان یک کاربر من می‌خواهم نتایج جستجو یا محصولات به طور خودکار بر اساس اولویت‌ها یا نیازهای من مرتب شوند تا بتوانم سریع‌تر به نتیجه دلخواه خود دست یابم. 
62,به عنوان یک کاربر من می‌خواهم بتوانم زبان یا منطقه جغرافیایی نرم‌افزار را به سرعت تغییر دهم تا بتوانم تجربه استفاده خود را به‌طور شخصی‌سازی شده و سریع تنظیم کنم. 
63,به عنوان یک کاربر من می‌خواهم بتوانم برای صفحات پر استفاده خود میانبرهایی ایجاد کنم تا بتوانم با سرعت بیشتری به بخش‌های مهم دسترسی پیدا کنم. 
64,"به عنوان یک کاربر من می‌خواهم هنگام پر کردن فرم‌ها، سیستم به طور هوشمندانه پیشنهاداتی برای تکمیل اطلاعات وارد کند تا بتوانم سرعت ورود داده‌ها را افزایش دهم. "
65,به عنوان یک مدیر پروژه من می‌خواهم بتوانم وظایف را به راحتی اولویت‌بندی و مدیریت کنم تا بتوانم پروژه‌ها را سریع‌تر پیش ببرم و نیاز به انجام تغییرات را به حداقل برسانم. 
66,"به عنوان یک مدیر وب‌سایت من می‌خواهم بتوانم به راحتی محتوا را به صورت دسته‌بندی شده و با استفاده از ابزارهای ویرایشی پیشرفته مدیریت کنم تا بتوانم بدون اتلاف وقت و با کارایی بالا، محتوای جدید را اضافه یا ویرایش کنم. "
67,به عنوان یک تحلیلگر داده من می‌خواهم گزارش‌های هفتگی به صورت خودکار از سیستم استخراج شده و به من ارسال شوند تا بتوانم زمان کمتری را صرف تهیه گزارش‌ها کنم و به سرعت به تحلیل داده‌ها بپردازم. 
68,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم تاریخچه خریدهای قبلی خود را در چند ثانیه مشاهده کنم تا بتوانم خریدهای مشابه را سریع‌تر پیدا کنم و دوباره سفارش دهم. 
69,به عنوان یک مدیر پروژه من می‌خواهم وضعیت تمامی پروژه‌ها و وظایف را در یک داشبورد ساده و یکپارچه مشاهده کنم تا بتوانم به سرعت پیشرفت پروژه‌ها را بررسی کرده و اقدامات لازم را انجام دهم. 
70,"به عنوان یک کاربر بانک آنلاین من می‌خواهم صورتحساب‌های بانکی خود را در عرض چند ثانیه مشاهده و پرداخت کنم تا بتوانم بدون صرف وقت اضافی، به راحتی امور مالی خود را مدیریت کنم. "
71,"به عنوان یک مسئول فروش من می‌خواهم به راحتی و با استفاده از قابلیت تکمیل خودکار، اطلاعات تماس مشتریان را ثبت کنم تا بتوانم روند ثبت‌نام و ارتباط با مشتریان را سریع‌تر و دقیق‌تر انجام دهم. "
72,به عنوان یک مدیر بازاریابی من می‌خواهم گزارش‌های تحلیلی مربوط به کمپین‌های بازاریابی را به راحتی و با چند کلیک دریافت کنم تا بتوانم نتایج کمپین‌ها را سریعاً ارزیابی کرده و تصمیمات بهتری بگیرم. 
73,به عنوان یک نویسنده محتوا من می‌خواهم بتوانم به سرعت پیش‌نویس‌های ذخیره‌شده خود را بازیابی و ویرایش کنم تا بتوانم به سرعت به نوشتن ادامه دهم و زمان خود را برای نوشتن بیشتر صرف کنم. 
74,"به عنوان یک مشتری آنلاین من می‌خواهم با وارد کردن اطلاعات کارت اعتباری خود، پرداخت‌ها را در سریع‌ترین زمان ممکن انجام دهم تا بتوانم بدون معطلی خریدهای خود را تکمیل کنم. "
75," به عنوان یک مدیر سیستم من می‌خواهم وقتی که یک کاربر به سیستم وارد می‌شود، اطلاعات کاربری او به طور خودکار در داشبورد نمایش داده شود تا بتوانم سریع‌تر به اطلاعات مورد نیاز دسترسی پیدا کرده و اقدامات مدیریتی را انجام دهم. "
76,به عنوان یک مدیر پروژه من می‌خواهم بتوانم پیام‌های گروهی را به تیم‌های مختلف ارسال کنم تا بتوانم به سرعت اطلاعات مهم را با اعضای تیم به اشتراک بگذارم و از اتلاف وقت جلوگیری کنم. 
77,"به عنوان یک کاربر من می‌خواهم امکان ثبت درخواست پشتیبانی با استفاده از فرم‌های خودکار و انتخابی را داشته باشم تا بتوانم بدون نیاز به تایپ زیاد و با سرعت بالا، مشکل خود را ثبت کنم. "
78,به عنوان یک مسئول انبار من می‌خواهم بتوانم موجودی کالاها را به صورت لحظه‌ای و بدون تأخیر در سیستم به‌روزرسانی کنم تا بتوانم اطلاعات دقیق و به‌روز در اختیار تیم فروش قرار دهم. 
79,به عنوان یک حسابدار من می‌خواهم بتوانم گزارش‌های مالی را با پارامترهای مختلف به سرعت تنظیم و استخراج کنم تا بتوانم از اطلاعات مالی دقیق و به‌روز برای تصمیم‌گیری‌های سریع استفاده کنم. 
80,به عنوان یک مدیر سیستم من می‌خواهم بتوانم به سرعت وضعیت عملکرد سیستم‌ها و سرورها را بررسی کنم تا بتوانم مشکلات احتمالی را پیش از بروز بحران شناسایی و رفع کنم. 
81,به عنوان یک کارشناس خرید من می‌خواهم درخواست‌های خرید را به صورت گروهی و با فیلترهای مختلف مشاهده و مدیریت کنم تا بتوانم به راحتی تمام درخواست‌ها را پیگیری و ترتیب انجام آن‌ها را مشخص کنم. 
82,به عنوان یک مسئول پشتیبانی من می‌خواهم اعلان‌های فوری به کاربرانی که به پشتیبانی نیاز دارند ارسال کنم تا بتوانم به سرعت مشکل کاربران را شناسایی و به آن‌ها رسیدگی کنم. 
83,به عنوان یک تحلیلگر داده من می‌خواهم داده‌های بزرگ را به سرعت جستجو و فیلتر کنم تا بتوانم نتایج دقیق و مرتبط را در کمترین زمان ممکن پیدا کنم. 
84,به عنوان یک نماینده خدمات مشتری من می‌خواهم ایمیل‌های مشتریان را با استفاده از پاسخ‌های آماده سریعاً پاسخ دهم تا بتوانم به سرعت به نیازهای مشتریان پاسخ دهم و زمان پاسخ‌دهی را کاهش دهم. 
85,به عنوان یک مشتری من می‌خواهم فرآیند پرداخت را با استفاده از گزینه‌های سریع و ذخیره‌سازی اطلاعات کارت اعتباری انجام دهم تا بتوانم خریدهای خود را در کمترین زمان ممکن و بدون تأخیر انجام دهم. 
86,"به عنوان یک رهبر تیم من می‌خواهم بتوانم وظایف مختلف تیم را سریعاً اضافه، ویرایش یا حذف کنم تا بتوانم بدون تأخیر و با کارایی بالا، پروژه‌ها را به موقع مدیریت کنم. "
87,به عنوان یک کاربر حرفه‌ای من می‌خواهم بتوانم به راحتی بین صفحات مختلف سیستم جابجا شوم تا بتوانم از پیمایش طولانی جلوگیری کنم و سریع‌تر به اطلاعات مورد نیاز خود دسترسی پیدا کنم. 
88,به عنوان یک مشتری آنلاین من می‌خواهم بتوانم نتایج جستجوی محصولات را با استفاده از فیلترهای متنوع به سرعت محدود کنم تا بتوانم سریع‌تر محصول دلخواهم را پیدا کنم و از اتلاف وقت جلوگیری کنم. 
89,به عنوان یک خریدار آنلاین من می‌خواهم به سرعت بتوانم محصولات را به سبد خرید خود اضافه کنم تا بتوانم خرید خود را به‌طور کارآمدتر و بدون توقف انجام دهم. 
90,به عنوان یک کاربر نرم‌افزار طراحی من می‌خواهم بتوانم پیش‌نمایش فایل‌ها و طرح‌ها را سریعاً مشاهده کنم تا بتوانم تصمیم‌گیری سریع‌تری برای اصلاحات و تغییرات انجام دهم. 
91,"به عنوان یک مدیر پروژه من می‌خواهم بتوانم وضعیت پروژه‌ها و وظایف تیم را به‌صورت خلاصه و فوری مشاهده کنم تا بتوانم بدون بررسی جزئیات زیاد، تصمیمات سریع و مؤثر بگیرم. "
92,به عنوان یک تحلیلگر داده من می‌خواهم بتوانم گزارش‌های آماری و تحلیلی را با استفاده از داشبوردهای پیشرفته سریعاً مشاهده کنم تا بتوانم تجزیه و تحلیل‌های دقیق‌تری انجام دهم و گزارش‌ها را سریعاً آماده کنم. 
93,به عنوان یک همکار در تیم فروش من می‌خواهم بتوانم اطلاعات مربوط به مشتریان را سریعاً با همکاران خود به اشتراک بگذارم تا بتوانم همکاری تیمی را سریع‌تر انجام دهم و تصمیمات به موقع بگیرم. 
94,به عنوان یک اپراتور صندوق من می‌خواهم بتوانم تراکنش‌های خرید و فروش را به سرعت و با دقت پردازش کنم تا بتوانم صف‌های طولانی را کاهش دهم و سرعت خدمات‌دهی را افزایش دهم. 
95,"به عنوان یک حسابدار من می‌خواهم بتوانم تاریخچه تراکنش‌های مالی را به سرعت مرور کنم تا بتوانم بدون نیاز به جستجوی طولانی، سریعاً اطلاعات مالی را پیدا کنم. "
96,به عنوان یک مشتری من می‌خواهم بتوانم چند محصول را همزمان مقایسه کنم تا بتوانم سریع‌تر تصمیم بگیرم و وقت خود را برای مقایسه‌های دستی هدر ندهم. 
97,به عنوان یک حسابدار من می‌خواهم بتوانم تاریخچه تراکنش‌ها را با استفاده از فیلترهای مختلف پیدا کنم تا بتوانم اطلاعات مورد نیاز را سریع‌تر بیابم و گزارش‌های دقیق‌تری تهیه کنم. 
98,"به عنوان یک طراح گرافیک من می‌خواهم به راحتی به ابزارها و ویژگی‌های پیشرفته نرم‌افزار دسترسی داشته باشم تا بتوانم بدون نیاز به جستجو و زمان‌بر بودن، از تمام قابلیت‌های نرم‌افزار به‌طور مؤثر استفاده کنم. "
99,به عنوان یک مدیر مالی من می‌خواهم گزار‌شات مالی را به صورت خودکار و در قالب‌های مختلف مشاهده کنم تا بتوانم زمان کمتری را برای بررسی دستی گزارشات صرف کنم و تصمیمات سریع‌تری بگیرم. 
100,"به عنوان یک کاربر مبتدی من می‌خواهم از الگوهای از پیش طراحی شده برای ساخت گزارش یا اسلاید استفاده کنم تا بتوانم سریع‌تر و بدون نیاز به طراحی از ابتدا، کارم را پیش ببرم. "
101,"به عنوان یک مدیر محتوا من می‌خواهم بتوانم تصاویر را به سرعت در سیستم آپلود کنم تا بتوانم بدون تأخیر زیاد در سیستم، محتوای بصری را برای صفحات وب آماده کنم. "
102,"به عنوان یک تحلیلگر داده من می‌خواهم داده‌ها را به راحتی از نرم‌افزار دیگر به سیستم فعلی منتقل کنم تا بتوانم بدون نیاز به وارد کردن دستی داده‌ها، کارایی خود را افزایش دهم. "
103,به عنوان یک پژوهشگر من می‌خواهم از فیلترهای پیچیده برای جستجوی مقالات استفاده کنم تا بتوانم به سرعت نتایج دقیق و مرتبط را پیدا کنم و از وقت خود بهینه استفاده کنم. 
104,به عنوان یک مسئول بازاریابی من می‌خواهم بتوانم ایمیل‌های تبلیغاتی را به صورت گروهی و با استفاده از لیست‌های از پیش ساخته شده ارسال کنم تا بتوانم زمان کمتری را صرف ارسال ایمیل‌ها کنم و فرایند را سریع‌تر انجام دهم. 
105,به عنوان یک مدیر پروژه من می‌خواهم بتوانم وضعیت تمامی پروژه‌ها را در یک نمای کلی مشاهده کنم تا بتوانم سریعاً اولویت‌ها را تعیین کرده و زمان خود را بهتر مدیریت کنم. 
106,به عنوان یک مشتری من می‌خواهم بتوانم آیتم‌های مورد نظر خود را سریعاً به سبد خرید اضافه کنم تا بتوانم فرآیند خرید را سریع‌تر و با کارایی بیشتر انجام دهم. 
107,به عنوان یک مسئول پشتیبانی مشتری من می‌خواهم بتوانم به راحتی و سریع ایمیل‌های استاندارد پاسخ‌دهی را ارسال کنم تا بتوانم پاسخ‌دهی سریع‌تری به درخواست‌های مشتریان داشته باشم. 
108,به عنوان یک کاربر من می‌خواهم بتوانم به سرعت به تنظیمات پروفایل خود دسترسی پیدا کنم تا بتوانم تغییرات لازم را به‌سرعت انجام دهم. 
109,به عنوان یک کاربر من می‌خواهم بتوانم داده‌ها را در فرم‌ها به سرعت وارد کنم تا بتوانم از پر کردن فرم‌ها بدون تأخیر و اتلاف وقت لذت ببرم. 
110,به عنوان یک مدیر فروش من می‌خواهم بتوانم گزارش‌های روزانه فروش را به سرعت مشاهده کنم تا بتوانم تصمیمات بهتری برای تیم فروش خود بگیرم. 
111,به عنوان یک مدیر انبار من می‌خواهم موجودی انبار را به سرعت و بدون تأخیر مشاهده کنم تا بتوانم به سرعت تصمیم بگیرم که چه محصولاتی نیاز به بازاریابی یا سفارش مجدد دارند. 
112,به عنوان یک پژوهشگر من می‌خواهم بتوانم در پایگاه داده سریعاً اطلاعات مورد نظر خود را جستجو کنم تا بتوانم زمان خود را صرف مرور نتایج مرتبط کنم. 
113,به عنوان یک کارمند من می‌خواهم بتوانم رویدادها و جلسات را سریعاً در تقویم ثبت کنم تا بتوانم برنامه‌ریزی خود را به راحتی مدیریت کنم. 
114,به عنوان یک طراح گرافیک من می‌خواهم بتوانم سریعاً به آخرین پروژه‌های کاری خود دسترسی پیدا کنم تا بتوانم روی پروژه‌های فعلی تمرکز کنم و زمان را هدر ندهم. 
115,به عنوان یک مشتری آنلاین من می‌خواهم بتوانم چندین محصول را همزمان به سبد خرید خود اضافه کنم تا بتوانم خرید خود را سریع‌تر و کارآمدتر انجام دهم. 